MNC_Id	Spruce_contig_dir8_Name
MNC5688210	Contig1191
MNC5688211	Contig1192
MNC5688212	Contig1193
MNC5688214	Contig1195
MNC5688215	Contig1196
MNC5688216	Contig1197
MNC5688217	Contig1198
MNC5688220	Contig1201
MNC5688221	Contig1202
MNC5688222	Contig1203
MNC5688225	Contig1206
MNC5688228	Contig1209
MNC5688230	Contig1211
MNC5688231	Contig1212
MNC5688233	Contig1214
MNC5688234	Contig1215
MNC5688239	Contig1220
MNC5688241	Contig1222
MNC5688241	Contig1222
MNC5688242	Contig1223
MNC5688243	Contig1224
MNC5688244	Contig1225
MNC5688245	Contig1226
MNC5688247	Contig1228
MNC5688248	Contig1229
MNC5688250	Contig1231
MNC5688251	Contig1232
MNC5688252	Contig1233
MNC5688252	Contig1233
MNC5688254	Contig1235
MNC5688255	Contig1236
MNC5688257	Contig1238
MNC5688258	Contig1239
MNC5688259	Contig1240
MNC5688262	Contig1243
MNC5688263	Contig1244
MNC5688264	Contig1245
MNC5688265	Contig1246
MNC5688266	Contig1247
MNC5688267	Contig1248
MNC5688269	Contig1250
MNC5688271	Contig1252
MNC5688277	Contig1258
MNC5688278	Contig1259
MNC5688279	Contig1260
MNC5688281	Contig1262
MNC5688282	Contig1263
MNC5688283	Contig1264
MNC5688285	Contig1266
MNC5688286	Contig1267
MNC5688288	Contig1269
MNC5688290	Contig1271
MNC5688291	Contig1272
MNC5688293	Contig1274
MNC5688296	Contig1277
MNC5688297	Contig1278
MNC5688298	Contig1279
MNC5688299	Contig1280
MNC5688300	Contig1281
MNC5688301	Contig1282
MNC5688302	Contig1283
MNC5688306	Contig1287
MNC5688309	Contig1290
MNC5688310	Contig1291
MNC5688311	Contig1292
MNC5688313	Contig1294
MNC5688314	Contig1295
MNC5688315	Contig1296
MNC5688316	Contig1297
MNC5688319	Contig1300
MNC5688319	Contig1300
MNC5688322	Contig1303
MNC5688323	Contig1304
MNC5688324	Contig1305
MNC5688326	Contig1307
MNC5688328	Contig1309
MNC5688329	Contig1310
MNC5688332	Contig1313
MNC5688333	Contig1314
MNC5688334	Contig1315
MNC5688336	Contig1317
MNC5688338	Contig1319
MNC5688339	Contig1320
MNC5688340	Contig1321
MNC5688342	Contig1323
MNC5688344	Contig1325
MNC5688345	Contig1326
MNC5688346	Contig1327
MNC5688347	Contig1328
MNC5688348	Contig1329
MNC5688350	Contig1331
MNC5688351	Contig1332
MNC5688352	Contig1333
MNC5688353	Contig1334
MNC5688354	Contig1335
MNC5688355	Contig1336
MNC5688358	Contig1339
MNC5688365	Contig1346
MNC5688365	Contig1346
MNC5688367	Contig1348
MNC5688369	Contig1350
MNC5688375	Contig1356
MNC5688376	Contig1357
MNC5688378	Contig1359
MNC5688380	Contig1361
MNC5688381	Contig1362
MNC5688382	Contig1363
MNC5688383	Contig1364
MNC5688386	Contig1367
MNC5688387	Contig1368
MNC5688388	Contig1369
MNC5688389	Contig1370
MNC5688392	Contig1373
MNC5688393	Contig1374
MNC5688396	Contig1377
MNC5688398	Contig1379
MNC5688399	Contig1380
MNC5688401	Contig1382
MNC5688403	Contig1384
MNC5688404	Contig1385
MNC5688405	Contig1386
MNC5688406	Contig1387
MNC5688406	Contig1387
MNC5688409	Contig1390
MNC5688409	Contig1390
MNC5688410	Contig1391
MNC5688411	Contig1392
MNC5688414	Contig1395
MNC5688415	Contig1396
MNC5688416	Contig1397
MNC5688417	Contig1398
MNC5688418	Contig1399
MNC5688419	Contig1400
MNC5688422	Contig1403
MNC5688424	Contig1405
MNC5688426	Contig1407
MNC5688429	Contig1410
MNC5688430	Contig1411
MNC5688431	Contig1412
MNC5688432	Contig1413
MNC5688432	Contig1413
MNC5688433	Contig1414
MNC5688434	Contig1415
MNC5688436	Contig1417
MNC5688437	Contig1418
MNC5688439	Contig1420
MNC5688440	Contig1421
MNC5688441	Contig1422
MNC5688443	Contig1424
MNC5688444	Contig1425
MNC5688444	Contig1425
MNC5688445	Contig1426
MNC5688447	Contig1428
MNC5688451	Contig1432
MNC5688452	Contig1433
MNC5688455	Contig1436
MNC5688456	Contig1437
MNC5688457	Contig1438
MNC5688458	Contig1439
MNC5688459	Contig1440
MNC5688460	Contig1441
MNC5688462	Contig1443
MNC5688462	Contig1443
MNC5688463	Contig1444
MNC5688466	Contig1447
MNC5688469	Contig1450
MNC5688470	Contig1451
MNC5688472	Contig1453
MNC5688473	Contig1454
MNC5688474	Contig1455
MNC5688475	Contig1456
