"GA013-001"	"GA013-002"	"GA013-003"	"GA013-005"	"GA013-006"	"GA013-007"	"GA013-008"	"GA013-009"	"GA013-011"	"GA013-012"
"MNC5700306"	0.039959372011739	0.136742586139155	0.31428088221593	-0.0545623932847059	0.0552427138810769	0.159816983742311	0.0905021225183286	0.119627806397931	0.179068017199373	0.249700214230288
"MNC5695396"	-0.150153923555579	-0.181841806196159	-0.140995201355721	-0.0786010130671943	-0.0132503244164167	0.00955665353424584	0.076845827168886	-0.185128107271021	-0.0852133541227832	-0.0631255856891146
"MNC5701646"	-0.0886366147022988	-0.191838349401681	-0.419621434846092	0.141640698874487	-0.136203705686848	0.0713352217300776	0.0326857335076915	-0.265267879012984	0.0191216125793818	-0.228156830997857
"MNC5697946"	0.389313538578727	0.17478280831539	0.161606843122903	0.146960711208831	0.0718335858153154	0.146103191616922	-0.275235165260657	0.221529056867980	-0.322686948549582	0.108117066361014
"MNC5692408"	-0.131683154004418	-0.101841658941721	0.151104559077838	-0.222436010700271	0.0529985663013206	-0.249507018173126	-0.0318462488452527	0.0606069765251337	0.304138676583248	0.203706699301629
"MNC5687898"	0.181785044664481	-0.0185356548699571	0.417021187132855	-0.145915244884933	0.332970014163405	-0.152535622119331	0.499083851156946	0.028010187223319	0.230921774319696	0.0942151493295811
"MNC5693660"	0.744577654775558	0.232771313277853	-0.207116117572230	0.320078639161362	0.176814699799761	0.686956560248628	0.104703379507162	0.327496857797493	0.398302255706155	0.0993492939882672
"MNC5700028"	0.0110883886100014	-0.238280990694057	-0.380907949275348	0.0992531546125434	-0.095306077535171	0.202874951261188	-0.206694880579230	-0.129253256601800	-0.079201026627573	-0.305031304977694
"MNC5689062"	0.241679488140743	0.258213823766911	-0.107433024628213	0.254806366814167	0.0135178696431910	0.275949161699751	0.291452413197725	0.343535196998966	0.307467725222972	0.186412631091167
"MNC5700525"	-0.0443546852596978	0.277995591118071	0.295605007337412	-0.0335392897527663	-0.0124155990685210	-0.0171326546889221	0.30442645881888	-0.124953971136276	0.0870018007468934	-0.00263750180093486
"MNC5701926"	-0.199093182361945	0.0303538733645131	0.0237185726855942	0.124071517605020	0.0314143263764277	-0.0592579191482006	-0.0737186588029639	0.0390892680684141	0.0215274293414707	0.0263339023816563
"MNC5693825"	0.0984413899413363	0.0709456144223934	0.142410249540527	-0.184954299612804	0.211969829475405	-0.0965662843715348	0.208342151966202	0.062658901247459	0.0332499189578637	0.0876544218799774
"MNC5690300"	0.0717039039178254	0.0786156946252098	-0.0573347058695259	-0.0391480918998668	-0.102773362566041	-0.0712949532552129	-0.0121640179520676	-0.0238570367107339	-0.089701695621996	-0.0612152522974374
"MNC5689816"	-0.0638676399062903	-0.333939731189237	-0.174607094155310	0.152299136312125	-0.0134012937558641	0.203140726002364	-0.172473266726921	-0.219903553861465	-0.139335708349037	-0.268550936864225
"MNC5697470"	-0.0997040571458149	-0.0391773497944691	-0.128807189264894	-0.0187868729636484	-0.0229502237841157	-0.090462263889712	0.00704407842286527	-0.103875297593403	-0.0532280608318927	-0.186459205044256
"MNC5690257"	-0.115247595074143	0.300071637640578	0.44170236805063	0.281834709189102	0.372121875270819	-0.145177677492013	0.37187414677318	-0.0658214749335945	0.400055112291883	0.144757200216655
"MNC5695745"	-0.0403119208952417	-0.0137932743786989	0.414930554289999	-0.399386450514994	0.236579749025391	0.0592365985619994	0.558136907273578	-0.0218242481527132	0.209656021967736	0.185055358374167
"MNC5697886"	-0.0300449645033585	-0.350841615767825	-0.360394267882559	-0.139485649156519	-0.142403073777610	-0.137528666638762	-0.338413811783321	0.0658275909680602	-0.0197402039042009	-0.542688429043296
"MNC5696520"	-0.120749640350431	-0.00689653172841881	-0.201513825344712	-0.0314343634484301	-0.306254054652518	-0.0319869235298924	-0.211764803392999	-0.150111405437219	-0.0390544540658296	0.0578930043523736
