"ID"	"ANNOTATION"	"M"	"A"	"t"	"P.Value"	"B"
"MNC5699772"	"Contig12753"	"0.774451753730308"	"-0.156969516798127"	"10.4808196055083"	"1.08448129497693e-08"	"9.80508459876102"
"MNC5692923"	"Contig5904"	"-0.82122208868534"	"-0.144135845828541"	"-10.4305994198858"	"1.16218564306103e-08"	"9.74659203579302"
"MNC5692697"	"Contig5678"	"-0.669953196303446"	"0.0301830066581981"	"-9.9002115504128"	"2.45169509402364e-08"	"9.10992738529469"
"MNC5702916"	NA	"0.887661648112241"	"0.0338458767379178"	"9.852856423062"	"2.62439428038470e-08"	"9.05136556750793"
"MNC5692923"	"Contig5904"	"-0.625262682347163"	"-0.121984900003151"	"-9.59002201444722"	"3.84599456386409e-08"	"8.7210599942786"
"MNC5688116"	"Contig1097"	"-0.83808497007243"	"0.0137054798234168"	"-9.44034174546968"	"4.79726731501133e-08"	"8.52890112679478"
"MNC5697845"	"Contig10826"	"-0.49385285985013"	"0.0770553211184242"	"-9.22439888914082"	"6.6280251691336e-08"	"8.24638019663877"
"MNC5699727"	"Contig12708"	"-0.380349370303062"	"0.0267824758703180"	"-8.76915178482264"	"1.33343844698311e-07"	"7.62973734302935"
"MNC5702531"	NA	"0.849003178821995"	"-0.262344014873033"	"8.7471012154579"	"1.38021434258654e-07"	"7.59912908315047"
"MNC5693763"	"Contig6744"	"-0.441067355662194"	"0.00488557338830461"	"-7.56725719487631"	"9.5343764997569e-07"	"5.85700410332897"
"MNC5699625"	"Contig12606"	"-0.371755337739458"	"-0.0347147266311453"	"-7.09231862044406"	"2.18420807989122e-06"	"5.09570510244683"
"MNC5697699"	"Contig10680"	"-0.372141377410568"	"0.0277924884643081"	"-7.05952269051022"	"2.31547123044838e-06"	"5.04182935284712"
"MNC5690513"	NA	"-0.484978744282445"	"-0.0281037922032795"	"-6.9414551744912"	"2.86028454358226e-06"	"4.84646977408765"
"MNC5702657"	NA	"-0.315122802977521"	"0.0378750245482406"	"-6.93049716400495"	"2.91721380325442e-06"	"4.8282267231728"
"MNC5693240"	NA	"-0.412447980656062"	"0.0466361065978242"	"-6.91821499692012"	"2.98242810034572e-06"	"4.80775668814716"
"MNC5696334"	NA	"-0.361218823024405"	"-0.00790603134132326"	"-6.90646710434271"	"3.04622780379468e-06"	"4.78815483685042"
"MNC5693398"	"Contig6379"	"0.426095940842891"	"-0.0550704327892014"	"6.90029631803672"	"3.08030779375813e-06"	"4.77784990083266"
"MNC5695779"	"Contig8760"	"-0.429767323881492"	"0.0189964661216800"	"-6.87391930637699"	"3.23052246492402e-06"	"4.73373376644049"
"MNC5701092"	"Contig14073"	"0.468748144988852"	"-0.108054629642779"	"6.70316129631558"	"4.40695448071476e-06"	"4.44548278951809"
"MNC5687163"	"Contig144"	"-0.381730116350513"	"-0.130934410217376"	"-6.64635772517842"	"4.89086852856972e-06"	"4.34857599206023"
"MNC5692892"	NA	"0.422029233796117"	"-0.000342126958761441"	"6.59006081013712"	"5.42524008382637e-06"	"4.25203259900291"
"MNC5697290"	"Contig10271"	"-0.424639182029758"	"-0.0937409862279727"	"-6.58461223916006"	"5.48008597488792e-06"	"4.24266241873718"
"MNC5693816"	"Contig6797"	"0.383873478725924"	"-0.0466077060947569"	"6.54080628402693"	"5.94255273398221e-06"	"4.16715769583965"
"MNC5703476"	NA	"-0.315747452509509"	"-0.0814191326044576"	"-6.54017099680076"	"5.94955051558743e-06"	"4.16606048763894"
"MNC5698923"	"Contig11904"	"-0.283875161217718"	"-0.0505276723530054"	"-6.51338376214957"	"6.2525517324765e-06"	"4.1197384946345"
"MNC5635523"	NA	"0.434198600854347"	"-0.093091311979178"	"6.37206078130851"	"8.13911640215145e-06"	"3.87349586506024"
"MNC5689266"	"Contig2247"	"0.376752491783528"	"-0.098945188137065"	"6.37156957964151"	"8.14661827916613e-06"	"3.87263455331719"
"MNC5696629"	NA	"-0.350866682936018"	"-0.0532256455258728"	"-6.33100117348101"	"8.79167574192311e-06"	"3.80136911139969"
"MNC5696754"	"Contig9735"	"-0.287343461760151"	"-0.057167626573983"	"-6.27358043340905"	"9.79670546067707e-06"	"3.70006271388295"
"MNC5701635"	NA	"0.356269893123080"	"-0.087612250023235"	"6.27236880766815"	"9.81915392806015e-06"	"3.6979195592606"
"MNC5699238"	"Contig12219"	"0.62100165076144"	"-0.212361946224872"	"6.26948108644666"	"9.87287191872734e-06"	"3.69281076804190"
"MNC5695362"	"Contig8343"	"0.394237206650764"	"-0.0231599840709852"	"6.22596118675199"	"1.07204279501766e-05"	"3.61566174573328"
"MNC5692012"	"Contig4993"	"0.370729573358478"	"-0.0577943260174079"	"6.14010705019859"	"1.26212482319325e-05"	"3.46260993170174"
"MNC5697620"	"Contig10601"	"-0.369523843236052"	"-0.0665969938953093"	"-6.13827978333767"	"1.26653094510321e-05"	"3.45934017265325"
"MNC5694078"	NA	"-0.470301580971693"	"-0.024030536310569"	"-6.12969811761991"	"1.28743849412825e-05"	"3.443977078606"
"MNC5699529"	"Contig12510"	"-0.349904803340123"	"0.0291049945526433"	"-6.09726206037846"	"1.36975136064542e-05"	"3.38580760621937"
"MNC5694535"	"Contig7516"	"0.335627859129920"	"-0.0861719065098878"	"6.09109163747381"	"1.38601811535002e-05"	"3.37472364459405"
"MNC5692914"	"Contig5895"	"-0.42030060512317"	"0.0990271720138155"	"-6.04005261859208"	"1.52849502811528e-05"	"3.28281979141182"
"MNC5691018"	"Contig3999"	"-0.469483411321739"	"0.00031249270092699"	"-5.99305737051433"	"1.67311907473169e-05"	"3.19784806649931"
"MNC5694650"	NA	"0.399493085815571"	"-0.0350260136952015"	"5.97702874811747"	"1.72562968375894e-05"	"3.16879057442303"
"MNC5693413"	"Contig6394"	"0.418468550607142"	"-0.125185038555815"	"5.95802048953237"	"1.79012170506535e-05"	"3.13428132663075"
"MNC5700939"	"Contig13920"	"-0.326238973625018"	"-0.134340154412565"	"-5.9330483455698"	"1.87866356517387e-05"	"3.08886226997028"
"MNC5688614"	NA	"-0.336654757151279"	"0.0578490448853924"	"-5.88564239223999"	"2.05944432943943e-05"	"3.00238427076590"
"MNC5703200"	NA	"-0.276641411606527"	"0.00695012585166907"	"-5.85034609382594"	"2.20568125960917e-05"	"2.93777949008494"
"MNC5694449"	"Contig7430"	"-0.320025536909712"	"-0.00416599299557087"	"-5.81250485819831"	"2.37445035240804e-05"	"2.86831179673090"
"MNC5699010"	NA	"-0.285931006588574"	"0.0600282162275742"	"-5.8029569289283"	"2.41910815286923e-05"	"2.85075068435682"
"MNC5699541"	"Contig12522"	"-0.289087962384572"	"-0.0754491911974978"	"-5.78913254336715"	"2.48531336495618e-05"	"2.82530033139761"
"MNC5697755"	"Contig10736"	"-0.380265896516926"	"0.0151164465788625"	"-5.78367537490112"	"2.51196128124062e-05"	"2.81524610255583"
"MNC5702740"	NA	"0.384300593706877"	"-0.110033827298671"	"5.77831328912323"	"2.53843285565432e-05"	"2.80536280443252"
"MNC5702506"	NA	"0.317376136632497"	"-0.0637696875828665"	"5.70200625682551"	"2.94803221237942e-05"	"2.66426092572243"
"MNC5702711"	NA	"-0.253199881443474"	"-0.066159674385277"	"-5.68223294025758"	"3.06493093130934e-05"	"2.62755979707659"
"MNC5690808"	"Contig3789"	"0.433547673460212"	"-0.128723038739029"	"5.66321896623041"	"3.18186228817165e-05"	"2.59221502901954"
"MNC5697960"	"Contig10941"	"-0.26287113666791"	"-0.026696936994518"	"-5.61906817750733"	"3.47150064355117e-05"	"2.50994431921976"
"MNC5698213"	"Contig11194"	"-0.322191868131570"	"-0.112191408033665"	"-5.58940142739377"	"3.68130603963534e-05"	"2.45450751285640"
"MNC5690205"	"Contig3186"	"-0.226692242118508"	"-0.00764565028612389"	"-5.5342328039833"	"4.1069875514874e-05"	"2.3510869056223"
"MNC5687873"	NA	"0.341861050550149"	"-0.0583058146264134"	"5.52960710989378"	"4.14491406653993e-05"	"2.34239609941901"
"MNC5689542"	"Contig2523"	"0.36565484150132"	"-0.0986256641452352"	"5.50110333043038"	"4.38673387925210e-05"	"2.28877725575327"
"MNC5703281"	NA	"-0.297214335785818"	"-0.0285135911345715"	"-5.48622530918178"	"4.51869256539788e-05"	"2.26074533176309"
"MNC5696002"	NA	"-0.317069327616958"	"-0.131292865668575"	"-5.48073987637369"	"4.56837229318762e-05"	"2.25040243681635"
"MNC5696652"	NA	"-0.487664780016481"	"-0.0369899463453506"	"-5.48042265046467"	"4.57126247982757e-05"	"2.24980417423882"
"MNC5692909"	"Contig5890"	"0.875725810500103"	"-0.055028086864749"	"5.44376083646884"	"4.91831883456825e-05"	"2.18056997431282"
"MNC5697434"	"Contig10415"	"-0.305564286529813"	"-0.0661129165607691"	"-5.44134605530365"	"4.94211113741244e-05"	"2.17600331946283"
"MNC5702078"	NA	"0.320443424881285"	"-0.0749712820165796"	"5.42572667441666"	"5.09889940611918e-05"	"2.14644595010748"
"MNC5691366"	"Contig4347"	"-0.856470446403275"	"-0.047462563045567"	"-5.41725848772441"	"5.18603876625274e-05"	"2.13040732038551"
"MNC5698911"	"Contig11892"	"-0.300356927403496"	"-0.0101583603718792"	"-5.4119512099853"	"5.2414330305974e-05"	"2.12035046241974"
"MNC5697027"	"Contig10008"	"-0.236403331029698"	"-0.0552213718433486"	"-5.40990920847397"	"5.2629084225437e-05"	"2.1164800224085"
"MNC5700211"	"Contig13192"	"-0.298626297621584"	"-0.0251148628047949"	"-5.40761114189059"	"5.28718532380247e-05"	"2.11212355963963"
"MNC5701178"	NA	"-0.34409419983551"	"-0.0223964826918899"	"-5.39881685157656"	"5.38115992539949e-05"	"2.09544557849958"
"MNC5692871"	"Contig5852"	"-0.27910608988136"	"-0.0757243996527633"	"-5.38214539950321"	"5.56406349712789e-05"	"2.06380036404221"
"MNC5701320"	NA	"-0.229388411214565"	"-0.0402676808471078"	"-5.36659313177146"	"5.74046609340469e-05"	"2.03424598622103"
"MNC5687037"	NA	"-0.393831967651119"	"-0.00351141063861390"	"-5.34943779572343"	"5.94175015364561e-05"	"2.00160785981667"
"MNC5696143"	NA	"0.393345818637253"	"0.0644766155484375"	"5.34471920866356"	"5.9983786120505e-05"	"1.99262386744799"
"MNC5700413"	"Contig13394"	"0.334277326944381"	"-0.0673262319298583"	"5.31701179496566"	"6.34230569319663e-05"	"1.93981075997038"
"MNC5690581"	"Contig3562"	"-0.28245749916199"	"-0.0182720553195961"	"-5.31458171578743"	"6.37342281835452e-05"	"1.93517396511071"
"MNC5699486"	NA	"-0.254756636010382"	"-0.0816242602580286"	"-5.29921611501145"	"6.57385348966355e-05"	"1.9058371994529"
"MNC5697245"	NA	"0.725039904164078"	"-0.125509157619770"	"5.29009460987658"	"6.69589470979828e-05"	"1.88840738258182"
"MNC5692265"	"Contig5246"	"0.277185670040049"	"-0.0920057985332546"	"5.2900446714801"	"6.69656924362725e-05"	"1.8883119280259"
"MNC5702056"	NA	"-0.398263054611461"	"-0.160127732608920"	"-5.24589545418416"	"7.3211552964278e-05"	"1.80379673125736"
"MNC5701899"	NA	"-0.27088774504264"	"-0.0684529022374854"	"-5.23002623343584"	"7.56004949806668e-05"	"1.77335691184871"
"MNC5696994"	"Contig9975"	"0.312597293320644"	"-0.0294990118817374"	"5.21718808926948"	"7.7591760549648e-05"	"1.74870770859015"
"MNC5697464"	NA	"-0.229090586221796"	"-0.0258131246381197"	"-5.21278932116078"	"7.8286379394941e-05"	"1.74025727092892"
"MNC5698422"	"Contig11403"	"-0.292365574411221"	"-0.0170084133269332"	"-5.18317620539395"	"8.31322230835135e-05"	"1.68330417099177"
"MNC5693514"	"Contig6495"	"-0.266865101588928"	"-0.128341675265402"	"-5.17011023428187"	"8.53674046390672e-05"	"1.65814019052115"
"MNC5697672"	"Contig10653"	"-0.261163338047248"	"-0.0275120528029448"	"-5.16523855416532"	"8.62165328801103e-05"	"1.64875228682535"
"MNC5700081"	"Contig13062"	"-0.241146921014977"	"0.0112039061182133"	"-5.16367747440853"	"8.6490460714073e-05"	"1.64574340496141"
"MNC5702195"	NA	"0.219205116476557"	"-0.0463258238443206"	"5.16230903788953"	"8.67313207910893e-05"	"1.64310558153231"
"MNC5695168"	"Contig8149"	"-0.3749063556229"	"-0.0274128628962592"	"-5.15692192716141"	"8.76862334134763e-05"	"1.63271902844421"
"MNC5702633"	NA	"-0.314662917769372"	"-0.0942233103059606"	"-5.14533622530795"	"8.97766950414537e-05"	"1.61036917975125"
"MNC5690933"	NA	"0.303744295244486"	"-0.0846756522146937"	"5.12457504511855"	"9.3651820402029e-05"	"1.5702776412919"
"MNC5701870"	NA	"-0.292161463411700"	"-0.106793986680893"	"-5.11995818747731"	"9.45366906957612e-05"	"1.56135492890458"
"MNC5696894"	"Contig9875"	"-0.250490479069531"	"-0.00519960590708152"	"-5.1072861138536"	"9.70098522670571e-05"	"1.53685104500724"
"MNC5699419"	"Contig12400"	"-0.364783846639681"	"-0.0538467727348004"	"-5.1013272044476"	"9.81957176312215e-05"	"1.52532160410812"
"MNC5696067"	NA	"-0.248372634541895"	"-0.0985782421095064"	"-5.1003395541431"	"9.83937013169214e-05"	"1.52341025881933"
"MNC5693817"	"Contig6798"	"-0.305556897094174"	"-0.0225686468578772"	"-5.09151119264744"	"0.000100181749714231"	"1.50631997678917"
"MNC5692667"	NA	"-0.248960734993537"	"-0.0530362683683286"	"-5.07509811446375"	"0.000103595212264544"	"1.47452195442976"
"MNC5695683"	"Contig8664"	"-0.242529508422426"	"-0.0694658902303851"	"-5.06925180294239"	"0.000104839744408230"	"1.46318774866360"
"MNC5695194"	"Contig8175"	"0.332516300418999"	"-0.0325367597840379"	"5.06851754313677"	"0.000104997131562576"	"1.46176395529863"
"MNC5692855"	"Contig5836"	"0.469546875160009"	"0.115538856554181"	"5.06483611669502"	"0.000105789904348099"	"1.45462438076118"
"MNC5690065"	"Contig3046"	"-0.262578825347762"	"0.085102467679179"	"-5.06476606965302"	"0.000105805048007188"	"1.45448851936121"
"MNC5690408"	"Contig3389"	"-0.270083528614862"	"-0.009138834632684"	"-5.06237505749489"	"0.000106323304600276"	"1.44985062460041"
"MNC5697508"	"Contig10489"	"-0.259351418064255"	"0.0244492051380861"	"-5.05645867179908"	"0.000107616929091514"	"1.43837156768427"
"MNC5688654"	NA	"-0.40823294733271"	"0.0292255036888348"	"-5.05501656819135"	"0.000107934689603671"	"1.43557294716793"
"MNC5690477"	"Contig3458"	"0.361960564129359"	"-0.0344369153532280"	"5.0409107894291"	"0.000111094098674714"	"1.40818556354783"
"MNC5700146"	"Contig13127"	"-0.263076550634038"	"0.116599075734165"	"-5.03525616723372"	"0.000112387139515204"	"1.39720011523986"
"MNC5700473"	"Contig13454"	"-0.374788404146368"	"-0.0476538094556765"	"-5.02902076210177"	"0.000113830913443897"	"1.38508200151444"
"MNC5692275"	"Contig5256"	"0.294719960907069"	"0.0129829690746337"	"4.99917264226424"	"0.000121010409199506"	"1.32701121422916"
"MNC5693510"	NA	"-0.401267055218018"	"0.056201795769587"	"-4.96656675732434"	"0.000129386241986737"	"1.26345756376605"
"MNC5698504"	"Contig11485"	"0.329852638784197"	"-0.00301883547113295"	"4.96230201699311"	"0.000130524932561850"	"1.25513598791232"
"MNC5702606"	NA	"-0.25056809471855"	"-0.0552221370432402"	"-4.9324259982099"	"0.000138795523108248"	"1.19678288174753"
"MNC5690662"	"Contig3643"	"0.323489499951747"	"-0.115881133896972"	"4.93218589240155"	"0.000138864125404995"	"1.19631350775786"
"MNC5698218"	"Contig11199"	"-0.335686758358074"	"-0.121386418272885"	"-4.93109611493902"	"0.000139175930549279"	"1.19418306123441"
"MNC5698209"	"Contig11190"	"-0.255540758688571"	"-0.063874277609143"	"-4.92759852326511"	"0.000140181512772340"	"1.18734459588665"
"MNC5693104"	"Contig6085"	"-0.270323366458148"	"0.0320623385790929"	"-4.91473908939396"	"0.000143943175881960"	"1.16219025440918"
"MNC5700224"	"Contig13205"	"-0.223150587121878"	"0.0377114188164586"	"-4.89981532660524"	"0.000148438702424053"	"1.13297500703385"
"MNC5699092"	"Contig12073"	"-0.362323917687015"	"-0.0167300472389289"	"-4.88306446734601"	"0.000153656367306352"	"1.10015395798741"
"MNC5696848"	NA	"0.267871970375914"	"-0.0733346763288629"	"4.87378205432019"	"0.000156628268746043"	"1.08195321166523"
"MNC5698701"	NA	"-0.230034204805807"	"-0.0522049218166758"	"-4.87102422160011"	"0.000157522529026729"	"1.07654392429065"
"MNC5691905"	"Contig4886"	"-0.243348632561321"	"-0.0226973034099542"	"-4.86810526758938"	"0.000158474734352087"	"1.07081771815856"
"MNC5697797"	"Contig10778"	"-0.289098500848729"	"-0.147059117472890"	"-4.86043707503917"	"0.000161004403631325"	"1.05577042368867"
"MNC5696894"	"Contig9875"	"-0.263192766469471"	"0.0499384858734109"	"-4.85996335260052"	"0.000161162030602026"	"1.05484063174289"
"MNC5699818"	"Contig12799"	"-0.326804809271985"	"0.0286877981301560"	"-4.85880486700813"	"0.000161548172795946"	"1.05256672971554"
"MNC5695271"	"Contig8252"	"-0.333804029271972"	"-0.142231668612169"	"-4.8558322426234"	"0.000162543338764562"	"1.04673133932020"
"MNC5687924"	"Contig905"	"-0.414877086337561"	"0.062764703826471"	"-4.85088459637702"	"0.000164213641403695"	"1.03701680853320"
"MNC5692687"	"Contig5668"	"-0.354880479014436"	"0.104322202868392"	"-4.84032892929832"	"0.00016783620027945"	"1.01628244280726"
"MNC5694303"	"Contig7284"	"-0.286733764044024"	"-0.0505006155728020"	"-4.83378440152848"	"0.000170123193242444"	"1.00342119871772"
"MNC5693074"	"Contig6055"	"-0.220649966907837"	"-0.00366017268397128"	"-4.83318625090761"	"0.000170333802946112"	"1.00224549402252"
"MNC5698311"	NA	"-0.293673801083668"	"-0.143536387436445"	"-4.83297408999813"	"0.000170408569237447"	"1.0018284686619"
"MNC5696971"	"Contig9952"	"0.47478779956642"	"-0.054088263576824"	"4.823191331441"	"0.000173892800666282"	"0.982594268117174"
"MNC5694535"	"Contig7516"	"0.457872810684197"	"-0.184461054734317"	"4.82127403569552"	"0.000174584169503591"	"0.97882343797"
"MNC5702087"	NA	"0.238069055765332"	"-0.0402513900262494"	"4.81242255546648"	"0.000177812648399618"	"0.961409881543804"
"MNC5697556"	"Contig10537"	"-0.298126600658664"	"-0.0131715629601284"	"-4.810172342927"	"0.00017864308962028"	"0.956981732320381"
"MNC5696806"	NA	"0.297699903912573"	"0.00947957218237358"	"4.8090098403182"	"0.000179073665633158"	"0.954693860912397"
"MNC5698674"	"Contig11655"	"-0.264053827377494"	"-0.0459894307872888"	"-4.80867554328596"	"0.000179197681515841"	"0.954035919426422"
