"ID"	"M"	"A"	"t"	"P.Value"	"adj.P.Val"	"B"
"3929"	"MNC5699772"	0.774451753730308	-0.156969516798127	10.4808196055083	1.08448129497693e-08	6.41294037841078e-05	9.80508459876102
"7513"	"MNC5692923"	-0.82122208868534	-0.144135845828541	-10.4305994198858	1.16218564306103e-08	6.41294037841078e-05	9.74659203579302
"7839"	"MNC5692697"	-0.669953196303446	0.0301830066581981	-9.9002115504128	2.45169509402364e-08	7.24070381958138e-05	9.10992738529469
"8711"	"MNC5702916"	0.887661648112241	0.0338458767379178	9.852856423062	2.62439428038470e-08	7.24070381958138e-05	9.05136556750793
"1735"	"MNC5692923"	-0.625262682347163	-0.121984900003151	-9.59002201444722	3.84599456386409e-08	8.48887920136083e-05	8.7210599942786
"6338"	"MNC5688116"	-0.83808497007243	0.0137054798234168	-9.44034174546968	4.79726731501133e-08	8.82377368141084e-05	8.52890112679478
"9663"	"MNC5697845"	-0.49385285985013	0.0770553211184242	-9.22439888914082	6.6280251691336e-08	0.000104495551095083	8.24638019663877
"7869"	"MNC5699727"	-0.380349370303062	0.0267824758703180	-8.76915178482264	1.33343844698311e-07	0.000169244949830945	7.62973734302935
"10841"	"MNC5702531"	0.849003178821995	-0.262344014873033	8.7471012154579	1.38021434258654e-07	0.000169244949830945	7.59912908315047
"434"	"MNC5693763"	-0.441067355662194	0.00488557338830461	-7.56725719487631	9.5343764997569e-07	0.00105221379051317	5.85700410332897
"8479"	"MNC5699625"	-0.371755337739458	-0.0347147266311453	-7.09231862044406	2.18420807989122e-06	0.00198066921793897	5.09570510244683
"5202"	"MNC5697699"	-0.372141377410568	0.0277924884643081	-7.05952269051022	2.31547123044838e-06	0.00198066921793897	5.04182935284712
"1220"	"MNC5690513"	-0.484978744282445	-0.0281037922032795	-6.9414551744912	2.86028454358226e-06	0.00198066921793897	4.84646977408765
"842"	"MNC5702657"	-0.315122802977521	0.0378750245482406	-6.93049716400495	2.91721380325442e-06	0.00198066921793897	4.8282267231728
"10566"	"MNC5693240"	-0.412447980656062	0.0466361065978242	-6.91821499692012	2.98242810034572e-06	0.00198066921793897	4.80775668814716
"10020"	"MNC5696334"	-0.361218823024405	-0.00790603134132326	-6.90646710434271	3.04622780379468e-06	0.00198066921793897	4.78815483685042
"5314"	"MNC5693398"	0.426095940842891	-0.0550704327892014	6.90029631803672	3.08030779375813e-06	0.00198066921793897	4.77784990083266
"7785"	"MNC5695779"	-0.429767323881492	0.0189964661216800	-6.87391930637699	3.23052246492402e-06	0.00198066921793897	4.73373376644049
"6107"	"MNC5701092"	0.468748144988852	-0.108054629642779	6.70316129631558	4.40695448071476e-06	0.00255974471837727	4.44548278951809
"2800"	"MNC5687163"	-0.381730116350513	-0.130934410217376	-6.64635772517842	4.89086852856972e-06	0.00269878125406477	4.34857599206023
"6117"	"MNC5692892"	0.422029233796117	-0.000342126958761441	6.59006081013712	5.42524008382637e-06	0.00273580164541762	4.25203259900291
"2072"	"MNC5697290"	-0.424639182029758	-0.0937409862279727	-6.58461223916006	5.48008597488792e-06	0.00273580164541762	4.24266241873718
"4556"	"MNC5693816"	0.383873478725924	-0.0466077060947569	6.54080628402693	5.94255273398221e-06	0.00273580164541762	4.16715769583965
"4531"	"MNC5703476"	-0.315747452509509	-0.0814191326044576	-6.54017099680076	5.94955051558743e-06	0.00273580164541762	4.16606048763894
"10941"	"MNC5698923"	-0.283875161217718	-0.0505276723530054	-6.51338376214957	6.2525517324765e-06	0.00276012643678443	4.1197384946345
"2692"	"MNC5635523"	0.434198600854347	-0.093091311979178	6.37206078130851	8.13911640215145e-06	0.00332985478995842	3.87349586506024
"937"	"MNC5689266"	0.376752491783528	-0.098945188137065	6.37156957964151	8.14661827916613e-06	0.00332985478995842	3.87263455331719
"10066"	"MNC5696629"	-0.350866682936018	-0.0532256455258728	-6.33100117348101	8.79167574192311e-06	0.00346517619599512	3.80136911139969
"10092"	"MNC5696754"	-0.287343461760151	-0.057167626573983	-6.27358043340905	9.79670546067707e-06	0.00351474240306693	3.70006271388295
"2340"	"MNC5701635"	0.356269893123080	-0.087612250023235	6.27236880766815	9.81915392806015e-06	0.00351474240306693	3.6979195592606
"8821"	"MNC5699238"	0.62100165076144	-0.212361946224872	6.26948108644666	9.87287191872734e-06	0.00351474240306693	3.69281076804190
"2211"	"MNC5695362"	0.394237206650764	-0.0231599840709852	6.22596118675199	1.07204279501766e-05	0.00369720758931714	3.61566174573328
"10008"	"MNC5692012"	0.370729573358478	-0.0577943260174079	6.14010705019859	1.26212482319325e-05	0.00405947749177124	3.46260993170174
"7338"	"MNC5697620"	-0.369523843236052	-0.0665969938953093	-6.13827978333767	1.26653094510321e-05	0.00405947749177124	3.45934017265325
"10656"	"MNC5694078"	-0.470301580971693	-0.024030536310569	-6.12969811761991	1.28743849412825e-05	0.00405947749177124	3.443977078606
"5785"	"MNC5699529"	-0.349904803340123	0.0291049945526433	-6.09726206037846	1.36975136064542e-05	0.00413407997864942	3.38580760621937
"223"	"MNC5694535"	0.335627859129920	-0.0861719065098878	6.09109163747381	1.38601811535002e-05	0.00413407997864942	3.37472364459405
"6202"	"MNC5692914"	-0.42030060512317	0.0990271720138155	-6.04005261859208	1.52849502811528e-05	0.00443907135007375	3.28281979141182
"916"	"MNC5691018"	-0.469483411321739	0.00031249270092699	-5.99305737051433	1.67311907473169e-05	0.00473449797659974	3.19784806649931
"3932"	"MNC5694650"	0.399493085815571	-0.0350260136952015	5.97702874811747	1.72562968375894e-05	0.00476101229749091	3.16879057442303
"4460"	"MNC5693413"	0.418468550607142	-0.125185038555815	5.95802048953237	1.79012170506535e-05	0.00481848369197590	3.13428132663075
"382"	"MNC5700939"	-0.326238973625018	-0.134340154412565	-5.9330483455698	1.87866356517387e-05	0.00493641216791877	3.08886226997028
"4603"	"MNC5688614"	-0.336654757151279	0.0578490448853924	-5.88564239223999	2.05944432943943e-05	0.00528558781853339	3.00238427076590
"1689"	"MNC5703200"	-0.276641411606527	0.00695012585166907	-5.85034609382594	2.20568125960917e-05	0.00553224963205608	2.93777949008494
"4544"	"MNC5694449"	-0.320025536909712	-0.00416599299557087	-5.81250485819831	2.37445035240804e-05	0.0057171724479594	2.86831179673090
"4051"	"MNC5699010"	-0.285931006588574	0.0600282162275742	-5.8029569289283	2.41910815286923e-05	0.0057171724479594	2.85075068435682
"1589"	"MNC5699541"	-0.289087962384572	-0.0754491911974978	-5.78913254336715	2.48531336495618e-05	0.0057171724479594	2.82530033139761
"3854"	"MNC5697755"	-0.380265896516926	0.0151164465788625	-5.78367537490112	2.51196128124062e-05	0.0057171724479594	2.81524610255583
"3501"	"MNC5702740"	0.384300593706877	-0.110033827298671	5.77831328912323	2.53843285565432e-05	0.0057171724479594	2.80536280443252
"6727"	"MNC5702506"	0.317376136632497	-0.0637696875828665	5.70200625682551	2.94803221237942e-05	0.00650689669916386	2.66426092572243
"10559"	"MNC5702711"	-0.253199881443474	-0.066159674385277	-5.68223294025758	3.06493093130934e-05	0.0066322701486137	2.62755979707659
"7405"	"MNC5690808"	0.433547673460212	-0.128723038739029	5.66321896623041	3.18186228817165e-05	0.00675289081005045	2.59221502901954
"8765"	"MNC5697960"	-0.26287113666791	-0.026696936994518	-5.61906817750733	3.47150064355117e-05	0.00722858134004352	2.50994431921976
"2002"	"MNC5698213"	-0.322191868131570	-0.112191408033665	-5.58940142739377	3.68130603963534e-05	0.00752349878766956	2.45450751285640
"732"	"MNC5690205"	-0.226692242118508	-0.00764565028612389	-5.5342328039833	4.1069875514874e-05	0.00816844136398834	2.3510869056223
"2834"	"MNC5687873"	0.341861050550149	-0.0583058146264134	5.52960710989378	4.14491406653993e-05	0.00816844136398834	2.34239609941901
"7034"	"MNC5689542"	0.36565484150132	-0.0986256641452352	5.50110333043038	4.38673387925210e-05	0.00840807545456285	2.28877725575327
"3303"	"MNC5703281"	-0.297214335785818	-0.0285135911345715	-5.48622530918178	4.51869256539788e-05	0.00840807545456285	2.26074533176309
"6818"	"MNC5696002"	-0.317069327616958	-0.131292865668575	-5.48073987637369	4.56837229318762e-05	0.00840807545456285	2.25040243681635
"5441"	"MNC5696652"	-0.487664780016481	-0.0369899463453506	-5.48042265046467	4.57126247982757e-05	0.00840807545456285	2.24980417423882
"9865"	"MNC5692909"	0.875725810500103	-0.055028086864749	5.44376083646884	4.91831883456825e-05	0.00870886227365434	2.18056997431282
"1122"	"MNC5697434"	-0.305564286529813	-0.0661129165607691	-5.44134605530365	4.94211113741244e-05	0.00870886227365434	2.17600331946283
